comp_name,smiles,charge,multiplicity
azo_41e9f58e8e,Oc1coc2cc(-c3ccccc3)c(/N=N/c3ccccc3)c(-c3ccccc3)c12,0,1
azo_3f02188568,O=C(O)c1cc(Cl)ccc1/N=N/c1ccc2occc2c1,0,1
azo_6efd55231f,Nc1ccc(/N=N/c2ccc(C=O)cc2F)c(Cl)c1,0,1
azo_84399cb714,Nc1ccc(/N=N/c2ccc(S(=O)(=O)O)cc2Br)c(Br)c1,0,1
azo_0f83780925,O=C(O)c1csc2cc([N+](=O)[O-])c(/N=N/c3ccccc3)cc12,0,1
azo_21da5615d1,Cc1cc(O)cc(/N=N/c2cc(I)cc(C(N)=O)c2)c1,0,1
azo_52e7ff9d49,COc1ccc2cc(/N=N/c3ccc(Cl)cc3Cl)c(C(F)(F)F)cc2c1,0,1
azo_df4a91a797,Cc1ccc2cc(/N=N/c3c(F)cc(F)cc3Cl)ccc2c1,0,1
azo_c6d2f3d205,COc1cc(/N=N/c2ccc(C=O)cc2)cc(OC)c1,0,1
azo_51216cc1f8,COc1cc(I)c(/N=N/c2ccc(Cl)cc2)c(C(C)(C)C)c1,0,1
azo_7d1b0fabc6,O=Cc1c(/N=N/c2ccccc2)c(C(=O)O)cc2oc(F)cc12,0,1
azo_25041ce51e,COc1ccc(/N=N/c2cc(Cl)cc(C(F)(F)F)c2)cc1,0,1
azo_c6b9536b2f,COc1cc(/N=N/c2cc(I)cc(C(=O)O)c2)cc(-c2ccccc2)c1,0,1
azo_37cc18addc,CC(C)c1cc(F)cc(Br)c1/N=N/c1ccc(-c2ccccc2)cc1,0,1
